,Player,Nation,Competition,Club,Age,Pos
7507,Héctor Cuellar,bo BOL,División de Fútbol Profesional,FC Universitario,22,DF
7508,Gustavo Almada,py PAR,División de Fútbol Profesional,FC Universitario,28,GK
7509,Pablo Laredo,bo BOL,División de Fútbol Profesional,FC Universitario,29,MF
7510,Daniel Camacho,bo BOL,División de Fútbol Profesional,FC Universitario,24,MF
7511,Erick Cano,bo BOL,División de Fútbol Profesional,FC Universitario,23,MF
7512,William Álvarez,bo BOL,División de Fútbol Profesional,FC Universitario,27,FW
7513,Iván Vidaurre,bo BOL,División de Fútbol Profesional,FC Universitario,35,MF
7514,Juan Magallanes,bo BOL,División de Fútbol Profesional,FC Universitario,20,MF
7515,Mijail Aviles,ve VEN,División de Fútbol Profesional,FC Universitario,35,MF
7516,Ronaldo Monteiro,bo BOL,División de Fútbol Profesional,FC Universitario,25,FW
7517,Roy Ndoutoumou,ga GAB,División de Fútbol Profesional,FC Universitario,28,FW
7518,Juan Carlos Zampiery,bo BOL,División de Fútbol Profesional,FC Universitario,33,DF
7519,Junior Romay,bo BOL,División de Fútbol Profesional,FC Universitario,28,FW
7520,Ramiro Mamani,bo BOL,División de Fútbol Profesional,FC Universitario,31,MF
7521,Jordy Candía,bo BOL,División de Fútbol Profesional,FC Universitario,26,DF
7522,Carlos Ribera,bo BOL,División de Fútbol Profesional,FC Universitario,25,MF
7523,Diego Navarro,bo BOL,División de Fútbol Profesional,FC Universitario,30,FW
7524,Rafael Lima Pereira,br BRA,División de Fútbol Profesional,FC Universitario,29,FW
7525,Denilzon Ramallo,bo BOL,División de Fútbol Profesional,FC Universitario,24,FW
7526,José Antonio Pinto,bo BOL,División de Fútbol Profesional,FC Universitario,22,MF
7527,Moisés Calero,bo BOL,División de Fútbol Profesional,FC Universitario,24,MF
7528,Alán Mercado,bo BOL,División de Fútbol Profesional,FC Universitario,26,FW
7529,Rodrigo Vargas Touchard,bo BOL,División de Fútbol Profesional,FC Universitario,33,FW
7530,Guilder Cuellar,bo BOL,División de Fútbol Profesional,FC Universitario,23,MF
7531,Ronaldo Arancibia,bo BOL,División de Fútbol Profesional,FC Universitario,23,MF
7532,Juan Foronda,bo BOL,División de Fútbol Profesional,FC Universitario,27,GK
7533,Andrés Gandarillas,N/I,División de Fútbol Profesional,FC Universitario,0,MF
7534,Ary Oliveira,bo BOL,División de Fútbol Profesional,FC Universitario,19,MF
7535,Calet Pacamia,bo BOL,División de Fútbol Profesional,FC Universitario,19,MF
7536,Lucas Zamora,bo BOL,División de Fútbol Profesional,FC Universitario,19,FW
7537,Noé Zeballos,bo BOL,División de Fútbol Profesional,FC Universitario,22,MF
7538,Dico Roca,bo BOL,División de Fútbol Profesional,Club Vaca Diez,26,DF
7539,Rodrigo Morales,ar ARG,División de Fútbol Profesional,Club Vaca Diez,28,MF
7540,Diego Cuadros,co COL,División de Fútbol Profesional,Club Vaca Diez,26,MF
7541,Mizael Monteiro,br BRA,División de Fútbol Profesional,Club Vaca Diez,22,DF
7542,Israel Peña,bo BOL,División de Fútbol Profesional,Club Vaca Diez,24,GK
7543,Joel Fernández,bo BOL,División de Fútbol Profesional,Club Vaca Diez,24,DF
7544,Pedro Taborga,N/I,División de Fútbol Profesional,Club Vaca Diez,0,MF
7545,Darlin Rodriguez,N/I,División de Fútbol Profesional,Club Vaca Diez,0,MF
7546,Drulin Cruz,bo BOL,División de Fútbol Profesional,Club Vaca Diez,24,DF
7547,Yosimar Quiñónez,co COL,División de Fútbol Profesional,Club Vaca Diez,34,DF
7548,Randerson Fininho,br BRA,División de Fútbol Profesional,Club Vaca Diez,28,MF
7549,Victor Borobobo,bo BOL,División de Fútbol Profesional,Club Vaca Diez,30,MF
7550,David Paredes,bo BOL,División de Fútbol Profesional,Club Vaca Diez,24,MF
7551,Enzo Rodriguez,bo BOL,División de Fútbol Profesional,Club Vaca Diez,19,GK
7552,Juan Vogliotti,ar ARG,División de Fútbol Profesional,Club Vaca Diez,37,FW
7553,Denis Pinto,bo BOL,División de Fútbol Profesional,Club Vaca Diez,27,GK
7554,Franz Parada,N/I,División de Fútbol Profesional,Club Vaca Diez,0,MF
7555,Juan Teles,br BRA,División de Fútbol Profesional,Club Vaca Diez,27,FW
7556,David Moura,bo BOL,División de Fútbol Profesional,Club Vaca Diez,23,DF
7557,Weverton Braz,br BRA,División de Fútbol Profesional,Club Vaca Diez,30,MF
7558,José Briceño,bo BOL,División de Fútbol Profesional,Club Vaca Diez,21,FW
7559,Dustin Maldonado,bo BOL,División de Fútbol Profesional,Club Vaca Diez,32,DF
7560,Lázaro Céspedes,N/I,División de Fútbol Profesional,Club Vaca Diez,0,DF
7561,Gabriel Becerra,N/I,División de Fútbol Profesional,Club Vaca Diez,0,MF
7562,Wayner Vaca,N/I,División de Fútbol Profesional,Club Vaca Diez,0,MF
7563,Marlon Esterilla,ec ECU,División de Fútbol Profesional,Club Vaca Diez,28,DF
7564,Kevin Pontons,bo BOL,División de Fútbol Profesional,Club Vaca Diez,25,DF
7565,Jean El Hague,N/I,División de Fútbol Profesional,Club Vaca Diez,0,FW
7566,Alexir Ibaguary,bo BOL,División de Fútbol Profesional,Club Vaca Diez,26,FW
7567,Marcos Rodríguez,bo BOL,División de Fútbol Profesional,Club Vaca Diez,21,MF
7568,Ricardo Román,bo BOL,División de Fútbol Profesional,Club Vaca Diez,26,MF
7569,Ricardo Suárez,bo BOL,División de Fútbol Profesional,Club Vaca Diez,32,DF
7570,Daniel Angulo,N/I,División de Fútbol Profesional,Club Vaca Diez,0,DF
7571,Pablo Almanza,bo BOL,División de Fútbol Profesional,Club Vaca Diez,33,MF
7572,Cesar Rashid Soria Elias,bo BOL,División de Fútbol Profesional,Club Vaca Diez,23,GK
7573,Jorge Escalante,N/I,División de Fútbol Profesional,Club Vaca Diez,0,FW
7574,René Gonzales,N/I,División de Fútbol Profesional,Club Vaca Diez,0,GK
7575,Carlos Jemio,bo BOL,División de Fútbol Profesional,Club Vaca Diez,26,DF
7576,Yilmar Rioja,bo BOL,División de Fútbol Profesional,Club Vaca Diez,17,MF
7577,Matheus Rodriguez,bo BOL,División de Fútbol Profesional,Club Vaca Diez,23,DF
7578,Franz Shaga,bo BOL,División de Fútbol Profesional,Club Vaca Diez,33,FW
7579,Jefferson Sotomayor,N/I,División de Fútbol Profesional,Club Vaca Diez,0,DF
7580,Andrés Torrico,bo BOL,División de Fútbol Profesional,Nacional Potosi,18,MF
7581,Saidt Mustafá,bo BOL,División de Fútbol Profesional,Nacional Potosi,33,GK
7582,Tommy Tobar,co COL,División de Fútbol Profesional,Nacional Potosi,36,FW
7583,Martín Prost,ar ARG,División de Fútbol Profesional,Nacional Potosi,33,FW
7584,Maximiliano Núñez,ar ARG,División de Fútbol Profesional,Nacional Potosi,36,"FW,MF"
7585,Diego Hoyos,bo BOL,División de Fútbol Profesional,Nacional Potosi,30,MF
7586,Óscar Añez,bo BOL,División de Fútbol Profesional,Nacional Potosi,32,DF
7587,Daniel Mancílla,bo BOL,División de Fútbol Profesional,Nacional Potosi,31,DF
7588,Saulo Guerra,bo BOL,División de Fútbol Profesional,Nacional Potosi,30,MF
7589,Martín Galain,uy URU,División de Fútbol Profesional,Nacional Potosi,33,DF
7590,Marcos Andia,bo BOL,División de Fútbol Profesional,Nacional Potosi,34,MF
7591,Maximiliano Ortíz,bo BOL,División de Fútbol Profesional,Nacional Potosi,33,DF
7592,Luis Aníbal Torrico,bo BOL,División de Fútbol Profesional,Nacional Potosi,36,DF
7593,Luis Pavia,bo BOL,División de Fútbol Profesional,Nacional Potosi,23,MF
7594,Victor Cuellar,bo BOL,División de Fútbol Profesional,Nacional Potosi,22,MF
7595,Heber Leaños,bo BOL,División de Fútbol Profesional,Nacional Potosi,32,DF
7596,Gustavo Cristaldo,py PAR,División de Fútbol Profesional,Nacional Potosi,33,MF
7597,Widen Saucedo,bo BOL,División de Fútbol Profesional,Nacional Potosi,25,DF
7598,Nelson Cabrera,bo BOL,División de Fútbol Profesional,Nacional Potosi,39,DF
7599,Andrés Córdoba,co COL,División de Fútbol Profesional,Nacional Potosi,25,FW
7600,Martín Chiatti,ar ARG,División de Fútbol Profesional,Nacional Potosi,30,DF
7601,Gustavo Salvatierra,bo BOL,División de Fútbol Profesional,Nacional Potosi,30,GK
7602,Layonel Figueroa,bo BOL,División de Fútbol Profesional,Nacional Potosi,23,MF
7603,Mauricio Chajtur,bo BOL,División de Fútbol Profesional,Nacional Potosi,26,MF
7604,Junior Romay,bo BOL,División de Fútbol Profesional,Nacional Potosi,28,FW
7605,Fernando Saldías,bo BOL,División de Fútbol Profesional,Nacional Potosi,25,FW
7606,Sebastián Armijo,bo BOL,División de Fútbol Profesional,Nacional Potosi,19,MF
7607,Jesus Calle,N/I,División de Fútbol Profesional,Nacional Potosi,0,N/I
7608,Marco Gutiérrez,bo BOL,División de Fútbol Profesional,Nacional Potosi,19,MF
7609,John Hurtado,bo BOL,División de Fútbol Profesional,Nacional Potosi,18,MF
7610,Carlos Machaca,N/I,División de Fútbol Profesional,Nacional Potosi,0,DF
7611,Ever Paco,bo BOL,División de Fútbol Profesional,Nacional Potosi,17,MF
7612,Nickolas Torrez,bo BOL,División de Fútbol Profesional,Nacional Potosi,21,GK
7613,Fabrício Bruno,br BRA,Campeonato Brasileiro Série A,Flamengo,26,DF
7614,Léo Pereira,br BRA,Campeonato Brasileiro Série A,Flamengo,27,DF
7615,Gerson,br BRA,Campeonato Brasileiro Série A,Flamengo,25,MF
7616,Ayrton Lucas,br BRA,Campeonato Brasileiro Série A,Flamengo,25,DF
7617,Wesley,br BRA,Campeonato Brasileiro Série A,Flamengo,19,DF
7618,Pedro,br BRA,Campeonato Brasileiro Série A,Flamengo,25,FW
7619,Thiago Maia,br BRA,Campeonato Brasileiro Série A,Flamengo,25,MF
7620,Erick Pulgar,cl CHI,Campeonato Brasileiro Série A,Flamengo,29,MF
7621,Giorgian De Arrascaeta,uy URU,Campeonato Brasileiro Série A,Flamengo,28,"MF,FW"
7622,Everton Soares,br BRA,Campeonato Brasileiro Série A,Flamengo,26,"FW,MF"
7623,Matheus Cunha,br BRA,Campeonato Brasileiro Série A,Flamengo,21,GK
7624,Gabriel Barbosa,br BRA,Campeonato Brasileiro Série A,Flamengo,26,FW
7625,Everton Ribeiro,br BRA,Campeonato Brasileiro Série A,Flamengo,33,"FW,MF"
7626,Agustín Rossi,ar ARG,Campeonato Brasileiro Série A,Flamengo,27,GK
7627,Bruno Henrique,br BRA,Campeonato Brasileiro Série A,Flamengo,32,"FW,MF"
7628,Victor Hugo,br BRA,Campeonato Brasileiro Série A,Flamengo,18,"MF,FW"
7629,David Luiz,br BRA,Campeonato Brasileiro Série A,Flamengo,35,DF
7630,Luiz Araújo,br BRA,Campeonato Brasileiro Série A,Flamengo,26,"FW,MF"
7631,Matheuzinho,br BRA,Campeonato Brasileiro Série A,Flamengo,22,DF
7632,Filipe Luís,br BRA,Campeonato Brasileiro Série A,Flamengo,37,DF
7633,Santos,br BRA,Campeonato Brasileiro Série A,Flamengo,32,GK
7634,Matheus França,br BRA,Campeonato Brasileiro Série A,Flamengo,18,"MF,FW"
7635,Allan,br BRA,Campeonato Brasileiro Série A,Flamengo,25,MF
7636,Pablo,br BRA,Campeonato Brasileiro Série A,Flamengo,31,DF
7637,Guillermo Varela,uy URU,Campeonato Brasileiro Série A,Flamengo,29,DF
7638,Arturo Vidal,cl CHI,Campeonato Brasileiro Série A,Flamengo,35,"MF,DF"
7639,Marinho,br BRA,Campeonato Brasileiro Série A,Flamengo,32,"FW,DF"
7640,Igor,br BRA,Campeonato Brasileiro Série A,Flamengo,19,MF
7641,Rodrigo Caio,br BRA,Campeonato Brasileiro Série A,Flamengo,29,"MF,DF"
7642,Pedrinho,br BRA,Campeonato Brasileiro Série A,Flamengo,19,FW
7643,Matheus Gonçalves,br BRA,Campeonato Brasileiro Série A,Flamengo,17,"FW,MF"
7644,André Inácio,br BRA,Campeonato Brasileiro Série A,Flamengo,20,FW
7645,Cleiton,br BRA,Campeonato Brasileiro Série A,Flamengo,19,DF
7646,Evertton,br BRA,Campeonato Brasileiro Série A,Flamengo,19,MF
7647,Lorran,br BRA,Campeonato Brasileiro Série A,Flamengo,16,FW
7648,Petterson,br BRA,Campeonato Brasileiro Série A,Flamengo,19,FW
7649,Rayan,br BRA,Campeonato Brasileiro Série A,Flamengo,18,MF
7650,Hugo Souza,br BRA,Campeonato Brasileiro Série A,Flamengo,24,GK
7651,Zé Welinton,br BRA,Campeonato Brasileiro Série A,Flamengo,19,DF
7652,Lucas Perri,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,25,GK
7653,Víctor Cuesta,ar ARG,Campeonato Brasileiro Série A,Botafogo RJ,34,DF
7654,Adryelson,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,24,DF
7655,Marlon Freitas,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,27,MF
7656,Carlos Eduardo,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,33,MF
7657,Tchê Tchê,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,30,"MF,DF"
7658,Tiquinho Soares,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,32,FW
7659,Júnior Santos,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,28,FW
7660,João Victor Santos Sá,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,28,FW
7661,Leonel Di Plácido,ar ARG,Campeonato Brasileiro Série A,Botafogo RJ,29,DF
7662,Fernando Marçal,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,33,DF
7663,Hugo,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,21,DF
7664,Luis Henrique,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,21,"FW,MF"
7665,Danilo Barbosa,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,26,"MF,DF"
7666,Gabriel,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,29,MF
7667,Rafael,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,32,DF
7668,Lucas Fernandes,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,25,MF
7669,Philipe Sampaio,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,28,DF
7670,Gustavo Sauer,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,29,"FW,MF"
7671,Diego Costa,es ESP,Campeonato Brasileiro Série A,Botafogo RJ,34,FW
7672,Matias Segovia,py PAR,Campeonato Brasileiro Série A,Botafogo RJ,20,FW
7673,Janderson,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,23,"FW,MF"
7674,JP Galvão,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,21,DF
7675,Bastos,ao ANG,Campeonato Brasileiro Série A,Botafogo RJ,31,DF
7676,Carlos Alberto,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,20,"FW,MF"
7677,Matheus Nascimento,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,18,"FW,MF"
7678,Luis Segovia,ec ECU,Campeonato Brasileiro Série A,Botafogo RJ,25,DF
7679,Daniel Borges,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,29,DF
7680,Gatito Fernández,py PAR,Campeonato Brasileiro Série A,Botafogo RJ,34,GK
7681,Diego Hernández,uy URU,Campeonato Brasileiro Série A,Botafogo RJ,22,FW
7682,Kayque,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,22,MF
7683,Mateo Ponte,uy URU,Campeonato Brasileiro Série A,Botafogo RJ,19,DF
7684,Lucas Piazon,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,29,FW
7685,Breno,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,22,MF
7686,Newton,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,22,MF
7687,Rai,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,20,MF
7688,Douglas Borges,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,32,GK
7689,Joel Carli,ar ARG,Campeonato Brasileiro Série A,Botafogo RJ,36,DF
7690,João Fernando,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,21,GK
7691,Igo Gabriel,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,21,GK
7692,Jacob Montes,ni NCA,Campeonato Brasileiro Série A,Botafogo RJ,24,MF
7693,Wallison Silva,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,21,DF
7694,David Sousa,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,21,DF
7695,Henrique Vermudt,br BRA,Campeonato Brasileiro Série A,Botafogo RJ,23,MF
7696,Fabricio Bustos,ar ARG,Campeonato Brasileiro Série A,Internacional,26,DF
7697,Alan Patrick,br BRA,Campeonato Brasileiro Série A,Internacional,31,"MF,FW"
7698,Wanderson,br BRA,Campeonato Brasileiro Série A,Internacional,28,"FW,MF"
7699,Gabriel Mercado,ar ARG,Campeonato Brasileiro Série A,Internacional,35,DF
7700,Vitão,br BRA,Campeonato Brasileiro Série A,Internacional,22,DF
7701,Renê,br BRA,Campeonato Brasileiro Série A,Internacional,30,DF
7702,Mauricio,br BRA,Campeonato Brasileiro Série A,Internacional,21,"FW,MF"
7703,Johnny Cardoso,us USA,Campeonato Brasileiro Série A,Internacional,21,MF
7704,Sergio Rochet,uy URU,Campeonato Brasileiro Série A,Internacional,29,GK
7705,Enner Valencia,ec ECU,Campeonato Brasileiro Série A,Internacional,33,FW
7706,Luiz Adriano,br BRA,Campeonato Brasileiro Série A,Internacional,35,FW
7707,Carlos de Pena,uy URU,Campeonato Brasileiro Série A,Internacional,30,"MF,FW"
7708,Charles Aránguiz,cl CHI,Campeonato Brasileiro Série A,Internacional,33,MF
7709,Igor Gomes,br BRA,Campeonato Brasileiro Série A,Internacional,21,DF
7710,Pedro Henrique,br BRA,Campeonato Brasileiro Série A,Internacional,32,"FW,MF"
7711,Nicolás Hernández,co COL,Campeonato Brasileiro Série A,Internacional,25,DF
7712,Romulo,br BRA,Campeonato Brasileiro Série A,Internacional,22,"MF,DF"
7713,Bruno Henrique,br BRA,Campeonato Brasileiro Série A,Internacional,33,MF
7714,Keiller,br BRA,Campeonato Brasileiro Série A,Internacional,26,GK
7715,John,br BRA,Campeonato Brasileiro Série A,Internacional,26,GK
7716,Gabriel,br BRA,Campeonato Brasileiro Série A,Internacional,30,MF
7717,Gustavo Campanharo,br BRA,Campeonato Brasileiro Série A,Internacional,30,MF
7718,Dalbert Henrique,br BRA,Campeonato Brasileiro Série A,Internacional,29,DF
7719,Matheus Dias,br BRA,Campeonato Brasileiro Série A,Internacional,25,"MF,FW"
7720,Rodrigo Moledo,br BRA,Campeonato Brasileiro Série A,Internacional,35,DF
7721,Lucca Holanda,br BRA,Campeonato Brasileiro Série A,Internacional,19,FW
7722,Alexandre Alemão,br BRA,Campeonato Brasileiro Série A,Internacional,24,FW
7723,Thauan Lara,br BRA,Campeonato Brasileiro Série A,Internacional,19,"DF,MF"
7724,Hugo Mallo,es ESP,Campeonato Brasileiro Série A,Internacional,31,DF
7725,Gabriel Baralhas,br BRA,Campeonato Brasileiro Série A,Internacional,24,MF
7726,Gabriel Barros,br BRA,Campeonato Brasileiro Série A,Internacional,21,"FW,MF"
7727,Jean Dias,br BRA,Campeonato Brasileiro Série A,Internacional,32,"FW,MF"
7728,João Dalla Corte,br BRA,Campeonato Brasileiro Série A,Internacional,16,DF
7729,Estevão,br BRA,Campeonato Brasileiro Série A,Internacional,20,MF
7730,Lucas Ramos,br BRA,Campeonato Brasileiro Série A,Internacional,22,FW
7731,Anthoni,br BRA,Campeonato Brasileiro Série A,Internacional,21,GK
7732,Felipe,br BRA,Campeonato Brasileiro Série A,Internacional,19,DF
7733,Emerson Júnior,br BRA,Campeonato Brasileiro Série A,Internacional,22,GK
7734,Vinicius Rangel,br BRA,Campeonato Brasileiro Série A,Internacional,18,DF
7735,Marllon Borges,br BRA,Campeonato Brasileiro Série A,Cuiaba,30,DF
7736,Walter,br BRA,Campeonato Brasileiro Série A,Cuiaba,35,GK
7737,Deyverson,br BRA,Campeonato Brasileiro Série A,Cuiaba,31,FW
7738,Raniele,br BRA,Campeonato Brasileiro Série A,Cuiaba,26,"MF,DF"
7739,Matheus Alexandre,br BRA,Campeonato Brasileiro Série A,Cuiaba,23,DF
7740,Alan Empereur,br BRA,Campeonato Brasileiro Série A,Cuiaba,28,DF
7741,Rikelme,br BRA,Campeonato Brasileiro Série A,Cuiaba,19,DF
7742,Denilson,br BRA,Campeonato Brasileiro Série A,Cuiaba,21,MF
7743,Jonathan Cafu,br BRA,Campeonato Brasileiro Série A,Cuiaba,31,"FW,MF"
7744,Clayson,br BRA,Campeonato Brasileiro Série A,Cuiaba,27,"FW,MF"
7745,Fernando Sobral,br BRA,Campeonato Brasileiro Série A,Cuiaba,28,MF
7746,Allyson Aires dos Santos,br BRA,Campeonato Brasileiro Série A,Cuiaba,32,DF
7747,Wellington Silva,br BRA,Campeonato Brasileiro Série A,Cuiaba,30,FW
7748,Pablo Ceppelini,uy URU,Campeonato Brasileiro Série A,Cuiaba,31,MF
7749,Filipe Augusto,br BRA,Campeonato Brasileiro Série A,Cuiaba,29,MF
7750,Isidro Pitta,py PAR,Campeonato Brasileiro Série A,Cuiaba,23,FW
7751,Lucas Mineiro,br BRA,Campeonato Brasileiro Série A,Cuiaba,26,MF
7752,Derik Lacerda,br BRA,Campeonato Brasileiro Série A,Cuiaba,23,"FW,MF"
7753,Patric Calmon PK,br BRA,Campeonato Brasileiro Série A,Cuiaba,28,DF
